ID,Name,Pos,Team,BV,p(start),p(90),p(sub on),xMins,g share,a share,yc tax,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
503240,Matthew Healy,M,Shamrock Rovers,6.5,0.9,0.8,0,78.5,0.15,0.13,0.11,0.00,4.19,4.53,4.22,4.45,4.65,4.46,4.89,4.69,4.63,4.10,4.66
500274,Connor Malley,M,Shamrock Rovers,6,0.2,0,0.1,15,0.1,0.1,0.11,0.00,0.89,0.97,0.90,0.95,1.00,0.97,1.05,1.01,1.00,0.87,1.00
235447,Daniel Mandroiu,M,Shamrock Rovers,6,0,0,0,0,0.15,0.21,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123948,John OSullivan,M,Shamrock Rovers,5.5,0,0,0.1,2,0.1,0.1,0.11,0.00,0.22,0.24,0.22,0.23,0.24,0.24,0.26,0.25,0.25,0.21,0.25
123926,Victor Ozhianvuna,M,Shamrock Rovers,5.5,0.3,0,0.2,23.5,0.12,0.1,0.11,0.00,1.47,1.60,1.48,1.57,1.65,1.59,1.74,1.67,1.65,1.43,1.66
38980,Gary ONeill,M,Shamrock Rovers,5,0,0,0,0,0.1,0.1,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67791,Graham Burke,F,Shamrock Rovers,10,0.5,0.1,0.5,45,0.28,0.17,0.08,0.00,3.26,3.59,3.29,3.51,3.70,3.54,3.94,3.75,3.69,3.17,3.71
56581,Rory Gaffney,F,Shamrock Rovers,9,0.3,0,0.2,23.5,0.27,0.16,0.08,0.00,1.63,1.79,1.64,1.75,1.85,1.77,1.97,1.87,1.84,1.58,1.85
57334,Aaron Greene,F,Shamrock Rovers,8,0,0,0,0,0.3,0.13,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
655565,John McGovern,F,Shamrock Rovers,7.5,0.8,0.6,0.4,75,0.25,0.1,0.08,0.00,4.65,5.06,4.68,4.96,5.20,4.99,5.50,5.26,5.18,4.53,5.21
155581,Michael Noonan,F,Shamrock Rovers,7.5,0.6,0.5,0.5,61.5,0.22,0.18,0.08,0.00,4.07,4.44,4.09,4.35,4.56,4.38,4.83,4.62,4.55,3.96,4.58
658485,Wessel Speel,G,Shelbourne,5.5,1,1,0,90,0.00,0.01,0.05,5.47,5.03,5.68,5.43,5.26,4.55,5.43,5.31,6.15,4.46,5.08,5.14
72339,Conor Walsh,G,Shelbourne,4.5,0,0,0,0,0.00,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
638698,James Norris,D,Shelbourne,5.5,0.9,0.5,0.1,73,0.06,0.1,0.11,4.73,4.27,4.94,4.63,4.52,3.85,4.69,4.59,5.37,3.74,4.36,4.41
381385,Kameron Ledwidge,D,Shelbourne,5.5,0.5,0.2,0.3,43.5,0.04,0.1,0.11,3.09,2.78,3.23,3.01,2.95,2.49,3.06,3.00,3.52,2.42,2.84,2.87
20,Odhran Casey,D,Shelbourne,5.5,0.9,0.8,0,78.5,0.08,0.1,0.11,5.11,4.62,5.34,5.00,4.89,4.17,5.06,4.96,5.81,4.05,4.72,4.76
54901,Patrick Barrett,D,Shelbourne,5.5,0.9,0.7,0,76,0.05,0.1,0.11,4.79,4.35,5.00,4.70,4.59,3.93,4.75,4.65,5.44,3.82,4.43,4.47
57131,Sean Gannon,D,Shelbourne,5,0.1,0,0.1,8.5,0.06,0.1,0.11,0.66,0.59,0.69,0.64,0.63,0.52,0.65,0.64,0.75,0.51,0.60,0.61
329455,Tyreke Wilson,D,Shelbourne,5,0.1,0,0.2,10.5,0.13,0.1,0.11,0.95,0.84,1.00,0.91,0.90,0.75,0.94,0.92,1.09,0.72,0.87,0.87
637613,Milan Mbeng,D,Shelbourne,4.5,0.9,0.75,0,77.25,0.08,0.1,0.11,5.02,4.54,5.25,4.91,4.80,4.10,4.98,4.88,5.71,3.98,4.64,4.68
65153,James Roche,D,Shelbourne,4,0,0,0,0,0.01,0.1,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67775,Sam Bone,D,Shelbourne,4,0,0,0,0,0.10,0.1,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
