ID,Name,Pos,Team,BV,p(start),p(90),p(sub on),xMins,g share,a share,yc tax,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
573221,Kacper Chorazka,G,Bohemians,5.5,1,1,0,90,0.00,0.001,0.05,5.21,5.26,4.51,4.98,5.42,5.64,4.80,6.10,5.38,6.01,5.85,4.42
1,Paul Walters,G,Bohemians,4,0,0,0,0,0.00,0.001,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46515,Cian Byrne,D,Bohemians,5.5,0.9,0.9,0,81,0.07,0.05,0.11,5.00,5.07,4.27,4.73,5.22,5.46,4.55,5.95,5.12,5.87,5.72,4.15
61411,Sam Todd,D,Bohemians,5.5,1,0.9,0,87.5,0.06,0.05,0.11,5.33,5.41,4.55,5.05,5.57,5.82,4.86,6.34,5.46,6.25,6.09,4.43
72587,Darragh Power,D,Bohemians,5,0.3,0.3,0.2,31,0.09,0.05,0.11,2.19,2.23,1.85,2.06,2.30,2.41,1.98,2.63,2.24,2.60,2.53,1.79
675943,Jubril Okedina,D,Bohemians,5,0.1,0.2,0.1,13.5,0.07,0.05,0.11,0.97,0.98,0.82,0.91,1.01,1.06,0.88,1.16,0.99,1.14,1.11,0.80
222,Senan Mullen,D,Bohemians,5,0.8,0.7,0.1,71.5,0.07,0.05,0.11,4.53,4.60,3.86,4.28,4.74,4.96,4.12,5.41,4.64,5.34,5.20,3.74
129412,Leigh Kavanagh,D,Bohemians,4.5,0,0.4,0.1,12,0.05,0.05,0.11,0.91,0.91,0.78,0.86,0.95,0.99,0.83,1.08,0.94,1.06,1.03,0.76
55302,Ryan Burke,D,Bohemians,4.5,0.2,0.2,0.3,24,0.06,0.05,0.11,1.83,1.86,1.54,1.72,1.92,2.01,1.65,2.20,1.87,2.17,2.11,1.49
48234,Dawson Devoy,M,Bohemians,9,1,0.9,0,87.5,0.23,0.16,0.11,5.11,5.26,4.48,4.77,5.32,5.59,4.68,5.97,5.03,5.95,5.89,4.29
60859,Dayle Rooney,M,Bohemians,9,1,0.9,0,87.5,0.22,0.2,0.11,5.18,5.34,4.54,4.84,5.40,5.68,4.75,6.07,5.10,6.05,6.00,4.34
465580,Patrick Hickey,M,Bohemians,8,1,0.7,0.3,88.5,0.16,0.1,0.2,4.91,5.04,4.28,4.60,5.11,5.35,4.50,5.72,4.86,5.69,5.63,4.11
105819,Ross Tierney,M,Bohemians,7.5,1,0.8,0,85,0.20,0.16,0.11,4.85,4.99,4.26,4.54,5.05,5.30,4.46,5.66,4.79,5.64,5.59,4.08
514537,Harry Vaughan,M,Bohemians,7,0.7,0.4,0.8,71.5,0.11,0.1,0.11,4.60,4.71,3.99,4.31,4.79,5.01,4.20,5.36,4.58,5.33,5.26,3.83
239719,Jordan Flores,M,Bohemians,6.5,0.1,0.2,0.3,17.5,0.12,0.1,0.11,1.23,1.26,1.07,1.16,1.28,1.34,1.13,1.43,1.23,1.42,1.41,1.03
29834,Niall Morahan,M,Bohemians,6.5,0.1,0.1,0,9,0.05,0.07,0.11,0.42,0.43,0.38,0.41,0.44,0.45,0.40,0.48,0.42,0.47,0.47,0.37
58991,Adam McDonnell,M,Bohemians,6,0,0.1,0.2,6.5,0.14,0.07,0.11,0.55,0.56,0.48,0.52,0.58,0.60,0.50,0.65,0.55,0.64,0.63,0.46
120724,James McManus,M,Bohemians,6,0.1,0.1,0.1,11,0.14,0.07,0.11,0.68,0.70,0.60,0.64,0.71,0.74,0.63,0.79,0.68,0.78,0.78,0.57
501144,Conor Parsons,M,Bohemians,5.5,0.1,0,0.5,16.5,0.14,0.07,0.11,1.44,1.47,1.21,1.34,1.51,1.58,1.29,1.71,1.44,1.70,1.67,1.16
76509,Rhys Brennan,M,Bohemians,5.5,0,0,0.2,4,0.18,0.07,0.11,0.44,0.46,0.37,0.41,0.47,0.49,0.40,0.53,0.44,0.53,0.52,0.35
446565,Sadou Diallo,M,Bohemians,5.5,1,0.8,0,85,0.09,0.05,0.25,3.87,3.95,3.44,3.67,4.01,4.17,3.59,4.41,3.85,4.39,4.35,3.33
591289,Douglas James-Taylor,F,Bohemians,9.5,0,0,0,0,0.35,0.1,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35609,Colm Whelan,F,Bohemians,8,0.9,0.6,0.1,75.5,0.27,0.1,0.11,4.34,4.47,3.81,4.07,4.52,4.74,3.99,5.06,4.29,5.04,4.99,3.65
191,Hugh Martin,F,Bohemians,6.5,0.2,0.1,0.7,29.5,0.20,0.1,0.11,2.39,2.45,2.03,2.22,2.50,2.63,2.16,2.83,2.38,2.81,2.77,1.94
35738,Brian Maher,G,Derry City,6,1,1,0,90,0.00,0.01,0.11,6.03,6.26,5.56,6.18,4.56,5.56,4.79,6.12,5.21,5.44,5.70,4.96
58875,Patrick McClean,D,Derry City,6,1,0.9,0,87.5,0.00,0.01,0.11,5.84,6.07,5.39,5.99,4.42,5.39,4.64,5.93,5.05,5.27,5.52,4.81
56289,Ben Doherty,D,Derry City,5.5,0.4,0.2,0.3,37,0.18,0.06,0.11,3.41,3.52,3.06,3.48,2.39,3.05,2.56,3.36,2.84,3.01,3.13,2.66
657478,Brandon Fleming,D,Derry City,5.5,1,0.8,0,85,0.08,0.06,0.11,6.28,6.50,5.71,6.42,4.59,5.70,4.86,6.28,5.33,5.60,5.84,5.04
61141,Rob Slevin,D,Derry City,5.5,1,0.9,0,87.5,0.08,0.05,0.11,6.41,6.64,5.83,6.56,4.70,5.83,4.97,6.42,5.45,5.72,5.97,5.16
246381,Cameron Dummigan,D,Derry City,4.5,0,0,0,0,0.11,0.04,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
659643,Jamie Stott,D,Derry City,4.5,0,0,0,0,0.08,0.04,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
655585,Alex Bannon,D,Derry City,4,0.5,0.3,0.2,44,0.10,0.04,0.11,3.56,3.68,3.22,3.64,2.56,3.21,2.72,3.54,3.00,3.16,3.30,2.83
56548,Michael Duffy,M,Derry City,10,1,0.8,0,85,0.30,0.30,0.11,6.45,6.53,5.73,6.51,4.58,5.68,4.91,6.08,5.40,5.72,5.81,5.05
11,James McClean,M,Derry City,9.5,1,0.4,0,75,0.24,0.25,0.11,5.39,5.46,4.81,5.44,3.86,4.77,4.13,5.11,4.54,4.80,4.88,4.25
46341,James Clarke,M,Derry City,8,1,0.8,0,85,0.33,0.22,0.11,6.33,6.40,5.63,6.38,4.52,5.59,4.84,5.97,5.31,5.62,5.71,4.97
37640,Darragh Markey,M,Derry City,7,0.9,0.6,0.1,75.5,0.20,0.14,0.11,5.02,5.08,4.54,5.07,3.72,4.51,3.96,4.81,4.30,4.52,4.60,4.06
363157,Adam OReilly,M,Derry City,6.5,0.5,0,0,32.5,0.27,0.10,0.11,2.25,2.28,2.02,2.28,1.61,2.00,1.73,2.15,1.90,2.01,2.05,1.78
223,Kevin Santos,M,Derry City,6.5,0,0,0,0,0.23,0.10,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
633997,Gavin Whyte,M,Derry City,6,0.2,0.04,0.5,24,0.31,0.10,0.11,2.41,2.45,2.16,2.44,1.68,2.14,1.82,2.31,2.02,2.14,2.19,1.88
224,Henry Rylah,M,Derry City,6,0,0,0.3,6,0.20,0.10,0.11,0.82,0.83,0.73,0.83,0.57,0.73,0.61,0.79,0.68,0.72,0.75,0.64
634202,Carl Winchester,M,Derry City,5.5,0.6,0.7,0.4,64.5,0.12,0.10,0.11,4.28,4.34,3.92,4.32,3.26,3.90,3.45,4.14,3.73,3.90,3.97,3.54
628712,James Olayinka,M,Derry City,5,0.1,0,0.5,16.5,0.13,0.10,0.11,1.73,1.76,1.56,1.75,1.23,1.55,1.32,1.68,1.46,1.54,1.59,1.36
656601,Dipo Akinyemi,F,Derry City,8.5,0.4,0,0.2,30,0.38,0.15,0.11,2.49,2.52,2.21,2.51,1.74,2.20,1.87,2.37,2.08,2.20,2.25,1.93
634327,Josh Thomas,F,Derry City,8,0.8,0.6,0.4,75,0.36,0.15,0.11,5.79,5.86,5.18,5.84,4.17,5.15,4.46,5.51,4.89,5.16,5.26,4.58
633991,Liam Boyce,F,Derry City,7,0.1,0,0.1,8.5,0.40,0.15,0.11,0.77,0.78,0.69,0.78,0.54,0.68,0.58,0.74,0.64,0.68,0.70,0.60
302695,Luke Dennison,G,Drogheda,5.5,1,1,0,90.00,0.00,0.01,0.02,4.79,5.76,5.26,5.13,5.00,4.40,4.74,4.29,5.12,5.37,5.16,4.96
46,Flynn Talley,G,Drogheda,4,0,0,0,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19559,Conor Keeley,D,Drogheda,6.5,1,0.9,0,87.50,0.08,0.05,0.20,4.70,5.82,5.22,5.07,4.96,4.26,4.61,4.14,5.07,5.38,5.12,4.88
39651,Andrew Quinn,D,Drogheda,6,1,0.9,0,87.50,0.05,0.05,0.20,4.57,5.63,5.07,4.93,4.81,4.15,4.49,4.03,4.93,5.21,4.97,4.75
57877,Conor Kane,D,Drogheda,5.5,0.9,0.7,0.2,80.00,0.07,0.05,0.20,4.43,5.50,4.93,4.79,4.68,4.00,4.34,3.89,4.79,5.08,4.84,4.61
634332,Owen Lambe,D,Drogheda,5.5,0,0,0,0.00,0.03,0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
226542,Edwin Agbaje,D,Drogheda,5,0.9,0.8,0.3,84.50,0.05,0.05,0.20,4.71,5.83,5.23,5.08,4.96,4.26,4.62,4.13,5.09,5.39,5.13,4.89
163412,James Bolger,D,Drogheda,5,0.4,0.2,0.3,37.00,0.04,0.05,0.20,2.19,2.73,2.44,2.37,2.32,1.97,2.14,1.91,2.37,2.52,2.40,2.28
8,Jason Bucknor,D,Drogheda,5,0.6,0.3,0.3,52.50,0.06,0.05,0.20,3.02,3.77,3.37,3.27,3.20,2.72,2.96,2.64,3.27,3.48,3.31,3.15
45466,Kieran Cruise,D,Drogheda,4.5,0.1,0,0.2,10.50,0.07,0.05,0.20,0.74,0.94,0.83,0.80,0.79,0.66,0.72,0.64,0.80,0.86,0.81,0.77
6,Leo Burney,D,Drogheda,4.5,0.2,0.1,0.3,21.50,0.04,0.05,0.20,1.39,1.75,1.56,1.51,1.48,1.25,1.36,1.21,1.51,1.61,1.53,1.45
363377,Sean McCarthy,D,Drogheda,4,0,0,0,0.00,0.03,0.05,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46619,Brandon Kavanagh,M,Drogheda,8,0.9,0.8,0.1,80.50,0.15,0.20,0.11,4.18,4.96,4.48,4.39,4.39,3.85,4.03,3.78,4.42,4.66,4.45,4.28
65269,Warren Davis,M,Drogheda,7,0.9,0.7,0.4,84.00,0.24,0.20,0.11,4.95,5.99,5.35,5.23,5.23,4.51,4.74,4.42,5.26,5.59,5.31,5.08
40685,Shane Farrell,M,Drogheda,6.5,0.9,0.7,0,76.00,0.15,0.20,0.11,3.86,4.58,4.14,4.06,4.06,3.56,3.72,3.50,4.08,4.31,4.11,3.96
55164,Ryan Brennan,M,Drogheda,5.5,0.7,0.5,0.4,66.00,0.14,0.20,0.11,3.71,4.45,4.00,3.91,3.90,3.39,3.57,3.32,3.93,4.16,3.97,3.81
12,Ethan OBrien,M,Drogheda,5,0,0,0,0.00,0.10,0.05,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56490,Mark Doyle,F,Drogheda,8,0.9,0.9,0,81.00,0.20,0.10,0.05,4.05,4.73,4.31,4.23,4.23,3.77,3.92,3.71,4.26,4.47,4.29,4.14
44337,Thomas Oluwa,F,Drogheda,7,0.4,0.2,0.7,45.00,0.24,0.10,0.05,2.98,3.63,3.25,3.17,3.15,2.71,2.87,2.65,3.19,3.38,3.22,3.07
163026,Bridel Bosakani,F,Drogheda,6.5,0.2,0.1,0.5,25.50,0.20,0.10,0.05,1.76,2.14,1.91,1.87,1.86,1.59,1.69,1.55,1.88,1.99,1.89,1.81
51685,Conor Kearns,G,Dundalk,5,1,1,0,90,0.001,0.01,0.05,0.00,3.95,5.33,4.05,4.41,5.38,5.21,4.19,4.20,4.58,4.46,4.99
45928,Enda Minogue,G,Dundalk,4,0,0,0,0,0.001,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61757,John Wilson,D,Dundalk,5,0.9,0.8,0,78.5,0.05,0.05,0.11,0.00,3.56,4.88,3.65,4.02,4.98,4.83,3.79,3.79,4.18,4.06,4.59
501733,Mayowa Animasahun,D,Dundalk,5,0.9,0.8,0,78.5,0.05,0.05,0.11,0.00,3.56,4.88,3.65,4.02,4.98,4.83,3.79,3.79,4.18,4.06,4.59
55885,Rob Cornwall,D,Dundalk,5,0.9,0.8,0,78.5,0.05,0.05,0.11,0.00,3.56,4.88,3.65,4.02,4.98,4.83,3.79,3.79,4.18,4.06,4.59
12544,Conor OKeefe,D,Dundalk,4.5,0,0,0,0,0.05,0.05,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206518,Harvey Warren,D,Dundalk,4.5,0,0,0.2,4,0.05,0.05,0.11,0.00,0.32,0.48,0.34,0.38,0.50,0.48,0.35,0.35,0.40,0.39,0.45
76777,Luke Mulligan,D,Dundalk,4,0.1,0,0.1,8.5,0.05,0.05,0.11,0.00,0.44,0.63,0.46,0.51,0.65,0.63,0.48,0.48,0.53,0.52,0.59
420894,Sean Spaight,D,Dundalk,4,0.3,0.1,0.4,30,0.05,0.05,0.11,0.00,1.62,2.30,1.67,1.87,2.37,2.30,1.74,1.74,1.95,1.89,2.17
114504,Ronan Teehan,M,Dundalk,7.5,0.5,0.3,0.5,50,0.15,0.25,0.11,0.00,2.65,3.47,2.71,2.99,3.67,3.62,2.81,2.80,3.08,3.01,3.41
446239,Declan McDaid,M,Dundalk,7,0.8,0.6,0.4,75,0.1,0.15,0.11,0.00,3.46,4.38,3.53,3.84,4.60,4.53,3.64,3.63,3.94,3.86,4.30
57724,Daryl Horgan,M,Dundalk,6.5,0.9,0.6,0,73.5,0.1,0.15,0.11,0.00,3.12,3.86,3.17,3.43,4.05,4.00,3.26,3.25,3.51,3.44,3.81
133609,Harry Groome,M,Dundalk,6.5,0,0,0.2,4,0.1,0.15,0.11,0.00,0.31,0.43,0.32,0.36,0.46,0.45,0.33,0.33,0.37,0.36,0.42
591690,Norman Garbett,M,Dundalk,6.5,0,0,0.2,4,0.1,0.15,0.11,0.00,0.31,0.43,0.32,0.36,0.46,0.45,0.33,0.33,0.37,0.36,0.42
591436,Bobby Burns,M,Dundalk,6,0.8,0.7,0,69.5,0.1,0.2,0.11,0.00,3.01,3.72,3.06,3.31,3.91,3.86,3.15,3.13,3.38,3.32,3.67
42555,Aodh Dervin,M,Dundalk,5.5,0.8,0.6,0,67,0.1,0.1,0.11,0.00,2.79,3.43,2.84,3.05,3.59,3.54,2.91,2.90,3.13,3.07,3.38
55266,Keith Buckley,M,Dundalk,5.5,0.8,0.6,0,67,0.05,0.1,0.11,0.00,2.65,3.23,2.70,2.89,3.35,3.31,2.77,2.76,2.95,2.90,3.17
16,Shane Tracey,M,Dundalk,5,0,0,0,0,0.05,0.1,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Shay Casey,M,Dundalk,5,0,0,0,0,0.05,0.1,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
525690,Danny Mullen,F,Dundalk,7.5,1,0.9,0,87.5,0.25,0.21,0.05,0.00,4.27,5.35,4.35,4.73,5.67,5.61,4.48,4.46,4.85,4.75,5.31
122929,Eoin Kenny,F,Dundalk,7,0.8,0.5,0,64.5,0.15,0.1,0.05,0.00,2.82,3.48,2.87,3.09,3.64,3.60,2.95,2.94,3.17,3.11,3.43
153203,Gbemi Arubi,F,Dundalk,7,0.5,0.3,0.5,50,0.1,0.08,0.05,0.00,2.44,3.11,2.49,2.71,3.25,3.19,2.57,2.56,2.79,2.73,3.04
504092,Leo Gaxha,F,Dundalk,6.5,0.2,0.1,0.3,21.5,0.1,0.08,0.05,0.00,1.11,1.44,1.13,1.24,1.50,1.47,1.17,1.17,1.28,1.25,1.40
631894,Evan Watts,G,Galway,5,1,1,0,90,0.00,0.01,0.05,5.70,4.36,4.53,5.59,5.84,4.52,5.75,4.16,4.81,5.10,5.11,5.24
230,Hugo Cunha,G,Galway,5,0,0,0,0,0.00,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55211,Killian Brouder,D,Galway,5.5,1,0.9,0,87.5,0.10,0.05,0.11,5.91,4.46,4.63,5.89,6.14,4.63,6.05,4.21,4.96,5.23,5.29,5.44
572404,Al-Amin Kazeem,D,Galway,5,1,0.9,0,87.5,0.22,0.04,0.11,6.38,4.78,4.96,6.43,6.69,4.97,6.60,4.48,5.35,5.60,5.71,5.88
169952,Kris Twardek,D,Galway,5,0.7,0.6,0.2,64.5,0.22,0.05,0.11,4.98,3.71,3.86,5.03,5.23,3.86,5.16,3.47,4.17,4.36,4.45,4.58
